IncomingPassengers,Line,NameOfStation,OutgoingPassengers,Quarter,Year,global_id
0,Калужско-Рижская линия,Рижская,0,I квартал,2021,1138976089
4160386,Арбатско-Покровская линия,Славянский бульвар,4104955,I квартал,2021,1138976092
1423046,Калужско-Рижская линия,Тургеневская,1491326,I квартал,2021,1138976096
1208463,Арбатско-Покровская линия,Партизанская,1200756,I квартал,2021,1138976108
1369579,Арбатско-Покровская линия,Измайловская,1376937,I квартал,2021,1138976110
2604323,Калужско-Рижская линия,Профсоюзная,2673503,I квартал,2021,1138976111
2905932,Замоскворецкая линия,Ховрино,2705635,I квартал,2021,1138976115
3044765,Калужско-Рижская линия,Калужская,3141925,I квартал,2021,1138976116
2542811,Замоскворецкая линия,Сокол,2578121,I квартал,2021,1138976124
2282077,Калужско-Рижская линия,Ясенево,2254808,I квартал,2021,1138976126
2020297,Замоскворецкая линия,Динамо,2079478,I квартал,2021,1138976127
2489724,Замоскворецкая линия,Маяковская,2571541,I квартал,2021,1138976130
2109249,Замоскворецкая линия,Новокузнецкая,2219337,I квартал,2021,1138976132
1170991,Филёвская линия,Багратионовская,1176241,I квартал,2021,1138976138
1455466,Филёвская линия,Фили,1461876,I квартал,2021,1138976141
3131961,Замоскворецкая линия,Кантемировская,3092603,I квартал,2021,1138976142
1398352,Замоскворецкая линия,Орехово,1345932,I квартал,2021,1138976145
4450182,Замоскворецкая линия,Домодедовская,4159656,I квартал,2021,1138976147
988704,Замоскворецкая линия,Алма-Атинская,962339,I квартал,2021,1138976150
1020585,Сокольническая линия,Черкизовская,1054918,I квартал,2021,1138976154
3417950,Таганско-Краснопресненская линия,Планерная,3286803,I квартал,2021,1138976160
1650218,Сокольническая линия,Красные ворота,1708029,I квартал,2021,1138976162
3987004,Таганско-Краснопресненская линия,Сходненская,3936678,I квартал,2021,1138976163
1408538,Сокольническая линия,Чистые пруды,1447537,I квартал,2021,1138976164
4037799,Таганско-Краснопресненская линия,Тушинская,3907369,I квартал,2021,1138976165
1865427,Сокольническая линия,Лубянка,1890479,I квартал,2021,1138976166
3420698,Сокольническая линия,Охотный ряд,3387393,I квартал,2021,1138976168
1742530,Сокольническая линия,Кропоткинская,1816394,I квартал,2021,1138976169
3212270,Таганско-Краснопресненская линия,Щукинская,3238647,I квартал,2021,1138976170
3303534,Таганско-Краснопресненская линия,Октябрьское поле,3376128,I квартал,2021,1138976172
1901807,Сокольническая линия,Фрунзенская,1998937,I квартал,2021,1138976173
3462079,Таганско-Краснопресненская линия,Беговая,3505240,I квартал,2021,1138976177
3423128,Сокольническая линия,Юго-Западная,3418276,I квартал,2021,1138976181
1785546,Таганско-Краснопресненская линия,Баррикадная,1836160,I квартал,2021,1138976182
740197,Сокольническая линия,Румянцево,742271,I квартал,2021,1138976184
2757179,Сокольническая линия,Саларьево,2458870,I квартал,2021,1138976186
549001,Сокольническая линия,Ольховая,527416,I квартал,2021,1138976191
1613830,Таганско-Краснопресненская линия,Волгоградский проспект,1655974,I квартал,2021,1138976195
1632203,Кольцевая линия,Краснопресненская,1660214,I квартал,2021,1138976196
2666516,Таганско-Краснопресненская линия,Рязанский проспект,2686345,I квартал,2021,1138976202
1690680,Таганско-Краснопресненская линия,Лермонтовский проспект,1616472,I квартал,2021,1138976207
3973672,Таганско-Краснопресненская линия,Котельники,3584425,I квартал,2021,1138976212
4089074,Калужско-Рижская линия,Медведково,3975142,I квартал,2021,1138976215
3817866,Калужско-Рижская линия,Бабушкинская,3817005,I квартал,2021,1138976216
2596264,Калужско-Рижская линия,Алексеевская,2671422,I квартал,2021,1138976223
1583637,Калужско-Рижская линия,Сухаревская,1659698,I квартал,2021,1138976228
2009040,Калужско-Рижская линия,Шаболовская,2111527,I квартал,2021,1138976235
2985765,Калужско-Рижская линия,Ленинский проспект,3430008,I квартал,2021,1138976236
2669379,Калужско-Рижская линия,Академическая,2676127,I квартал,2021,1138976238
3948893,Серпуховско-Тимирязевская линия,Отрадное,3987619,I квартал,2021,1138976239
2758911,Калужско-Рижская линия,Беляево,2795993,I квартал,2021,1138976245
2074779,Калужско-Рижская линия,Коньково,2066561,I квартал,2021,1138976247
510585,Калужско-Рижская линия,Новоясеневская,501925,I квартал,2021,1138976252
1779021,Серпуховско-Тимирязевская линия,Цветной бульвар,1842080,I квартал,2021,1138976254
457217,Филёвская линия,Пионерская,443923,I квартал,2021,1138976255
1212874,Серпуховско-Тимирязевская линия,Полянка,1271759,I квартал,2021,1138976261
497987,Филёвская линия,Студенческая,511575,I квартал,2021,1138976263
1586419,Серпуховско-Тимирязевская линия,Серпуховская,1657539,I квартал,2021,1138976264
3265648,Серпуховско-Тимирязевская линия,Нагатинская,3347560,I квартал,2021,1138976269
1195873,Серпуховско-Тимирязевская линия,Нагорная,1216863,I квартал,2021,1138976271
1831879,Серпуховско-Тимирязевская линия,Нахимовский проспект,1859606,I квартал,2021,1138976274
2056936,Серпуховско-Тимирязевская линия,Севастопольская,2084993,I квартал,2021,1138976276
273915,Таганско-Краснопресненская линия,Спартак,263980,I квартал,2021,1138976279
3859277,Серпуховско-Тимирязевская линия,Пражская,3868458,I квартал,2021,1138976283
2611312,Таганско-Краснопресненская линия,Полежаевская,2663983,I квартал,2021,1138976284
3472221,Таганско-Краснопресненская линия,Улица 1905 года,3608239,I квартал,2021,1138976287
3697402,Таганско-Краснопресненская линия,Пушкинская,3824660,I квартал,2021,1138976290
1865619,Таганско-Краснопресненская линия,Кузнецкий мост,1956594,I квартал,2021,1138976292
268111,Бутовская линия Лёгкого метро,Битцевский парк,208437,I квартал,2021,1138976293
405603,Бутовская линия Лёгкого метро,Лесопарковая,386897,I квартал,2021,1138976295
2597746,Таганско-Краснопресненская линия,Пролетарская,2632474,I квартал,2021,1138976296
1426718,Бутовская линия Лёгкого метро,Улица Скобелевская,1385807,I квартал,2021,1138976298
4948295,Таганско-Краснопресненская линия,Кузьминки,4953417,I квартал,2021,1138976301
715714,Бутовская линия Лёгкого метро,Улица Горчакова,709550,I квартал,2021,1138976302
5372512,Таганско-Краснопресненская линия,Выхино,5237952,I квартал,2021,1138976304
1600773,Бутовская линия Лёгкого метро,Бунинская аллея,1571625,I квартал,2021,1138976305
3008547,Люблинско-Дмитровская линия,Селигерская,2966997,I квартал,2021,1138976307
1949439,Таганско-Краснопресненская линия,Жулебино,1886445,I квартал,2021,1138976308
972373,Люблинско-Дмитровская линия,Верхние Лихоборы,962453,I квартал,2021,1138976309
4767775,Калининская линия,Новокосино,4626518,I квартал,2021,1138976311
5548074,Калининская линия,Новогиреево,5384637,I квартал,2021,1138976313
3287642,Калининская линия,Перово,3265689,I квартал,2021,1138976315
1120325,Люблинско-Дмитровская линия,Фонвизинская,1110059,I квартал,2021,1138976317
1118850,Люблинско-Дмитровская линия,Бутырская,1153002,I квартал,2021,1138976319
1845247,Калининская линия,Площадь Ильича,1864248,I квартал,2021,1138976320
1846432,Калининская линия,Марксистская,1925674,I квартал,2021,1138976321
